theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-09-18,17.0300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-09-11,10.5700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-09-04,8.7400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-08-28,8.7300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-08-21,11.0900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-08-14,12.2400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-08-07,13.0700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-07-31,14.1600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-07-24,16.4200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-07-17,15.4500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-07-10,15.5700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-07-03,12.3600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-06-26,10.2700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-06-19,10.9400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-06-12,12.0700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-06-05,11.0800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-05-29,15.5500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-05-22,13.6100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-05-15,15.7200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-05-08,13.8900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-05-01,14.6400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-04-24,11.8400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-04-17,11.5300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-04-10,14.0000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-04-03,15.5400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-03-27,15.5000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-03-20,15.1600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-03-13,15.5500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-03-06,15.8100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-02-27,14.1300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-02-20,15.0100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-02-13,16.3200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-02-06,16.3800,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-01-30,17.5900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-01-23,15.5300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-01-16,10.7400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-01-09,8.0100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2023,2023-01-02,7.7300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-12-26,8.9200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-12-19,10.1700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-12-12,10.6300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-12-05,12.0000,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-11-28,14.2900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-11-21,14.4700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-11-14,15.5300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-11-07,15.6900,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-10-31,14.8600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-10-24,17.0300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-10-17,20.3500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-10-10,21.7600,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-10-03,23.2200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-09-26,22.5200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-09-19,24.3500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-09-12,20.0700,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-09-05,11.4500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-08-29,8.6500,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-08-22,5.6400,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-08-15,6.1300,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-08-08,8.3100,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-08-01,6.6200,False
infectious_disease,respiratory,Rhinovirus,Nation,England,rhinovirus_testing_positivityByWeek,all,all,default,2022,2022-07-25,9.9200,False
