"Site","Year","ID","Ring","Tag","Sex","Birth","Status","class","Repeat","deployAge","gen","env","pop","deployBreedStatus","winterLongitude","winterLatitude","iblon","iblat","awestlon","awestlat","pslon","pslat","deployAD_J","deployFED_J","deployHatch_J","breedDeparture_J","FAC_EndJ","winterArrival_J","ISC_Jy","breedArrival_Jy","returnAD_Jy","returnFED_Jy","returnHatch_Jy"
"Dartmoor",2017,"BF918","D637611","P30","M",2014,"immigrant",NA,"N",NA,NA,NA,"UK","",-10.6732849,8.133863401,-8.4140174962552,40.2765214422958,-15.7733269922083,27.3590299412811,NA,NA,110.5,129,151,217,257,266,457,NA,475.5,495,513
"Dartmoor",2017,"BF919","AAA8704","P30","M",NA,"immigrant",NA,"R1",NA,NA,NA,"UK","",-8.863264467,8.548031344,-4.59439379880677,41.5556007618359,-13.0162185121952,30.8017406438812,-9.98887151060585,23.9434114834113,106,132,152,218,244,259,444,469,471,493,511
"Dartmoor",2017,"BF931","S845155","P30","F",NA,"immigrant",NA,"N",NA,NA,NA,"UK","",-10.99458041,11.49465864,-8.51126843422806,41.2140127727634,-16.2426911939808,28.1679458830976,NA,NA,NA,122,143,212,233,243,458,465,NA,493,513
"Dartmoor",2017,"BF935","AAA8705","P30","M",NA,"immigrant",NA,"N",NA,NA,NA,"UK","",-9.770850206,6.197175592,-7.28006665253658,41.8701505219229,-16.7303084062677,28.6929585118839,NA,NA,110.5,129,148,231,245,259,453,469,475.5,492,510
"Dartmoor",2017,"BF943","AAA8707","P30","M",NA,"immigrant",NA,"N",NA,NA,NA,"UK","",-7.994689659,5.638283733,-9.22115716726495,43.2038099089498,-16.9027466941671,34.7492252156556,-5.3089774447618,39.4082325813249,109,135,154,231,250,263,459,471,474,489,507
"Dartmoor",2017,"BF945","C437638","P30","M",NA,"immigrant",NA,"N",NA,NA,NA,"UK","",-9.044955223,7.693814721,-7.70389572316279,41.8187087883128,-17.085951540821,29.1313216811976,-6.45851309883191,34.5276209394679,102.5,124,143,225,251,272,458,471,467.5,NA,NA
"Dartmoor",2017,"BF948","Z765940","P30","M",2016,"recruit",NA,"N",2,NA,NA,"UK","",-10.57051903,8.343574562,-8.40169979476414,40.954457926026,-15.9562248842411,25.5069775883423,-5.4435573029538,41.8450710160363,108.5,124,144,207,253,263,452,472,473.5,496,513
"Dartmoor",2017,"BF957","Z286874","P30","M",2015,"recruit",NA,"N",3,NA,NA,"UK","",-10.09036683,13.46387125,-7.31327503449746,33.4984331622798,-15.9364266654862,24.2179709457726,-2.48815244560558,33.8670433217545,108.5,123,146,207,244,274,453,474,473.5,493,513
"Dartmoor",2017,"BF960","S845132","P30","F",NA,"immigrant",NA,"N",NA,NA,NA,"UK","",-10.69627153,6.625222479,-9.02188248571385,43.16186263522,-16.089252925826,35.3964931182011,-6.01112977450074,39.9659195801897,114.5,129,147,225,244,261,452,473,479.5,492,511
"Dartmoor",2017,"BF966","AAA8706","P30","M",NA,"immigrant",NA,"N",NA,NA,NA,"UK","",-10.88227193,6.492101191,-7.63826816734819,41.2037628733924,-13.7267782809373,30.8757588962801,-8.745070658754,28.872523342922,NA,129,148,187,233,273,450,471,NA,493,512
